X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3324.04,1277.32,204.2503252,-30.1022626,24.595,25.052,0.02,1.12,54.6,0.011,0.102,0.001,0,23.086,23.076,0.016,0.86,67.6,-0.007,0.04,0.002,0
3606.72,979.89,204.2491685,-30.0966526,23.987,23.984,0.015,0.99,70.7,0.019,0.029,0.069,2,23.987,23.981,0.028,0.88,38.7,0.018,0.098,0.048,0
765.07,2783.47,204.2454556,-30.1432833,24.002,23.962,0.014,1.1,76.2,0.004,0.087,0.015,0,24.255,24.25,0.034,1.07,31.6,0.009,0.024,0.02,0
2929.35,889.79,204.2415597,-30.1034882,24.026,24.037,0.016,0.97,69.9,-0.012,-0.012,0.012,2,23.949,23.942,0.027,0.95,40.1,0.02,0.062,0.014,0
601.58,2805.16,204.2441801,-30.1452906,24.077,24.108,0.015,1.07,72.6,0.029,0.027,0.051,0,23.911,23.905,0.027,1.06,39.6,0.043,0.082,0.041,0
4085.08,965.73,204.2535354,-30.091185,24.447,24.821,0.018,1.04,58.9,0.004,0.08,0.024,0,23.259,23.249,0.018,1.11,60.5,0.022,0.061,0.018,0
294.29,1330.34,204.22218,-30.1365879,24.337,24.644,0.017,1.24,62.8,0.018,0.092,0.0,0,23.368,23.359,0.019,1.12,55.8,0.018,0.198,0.0,0
2182.99,2143.63,204.2506725,-30.1221563,24.099,24.17,0.022,8.57,49.6,0.115,0.702,0.102,0,26.162,26.16,0.201,1.43,5.4,-0.173,-0.791,0.002,0
3029.54,1314.47,204.248004,-30.1058627,24.001,23.956,0.015,1.08,72.1,-0.006,0.039,0.041,0,24.306,24.301,0.034,0.87,31.8,-0.01,0.069,0.044,0
2482.85,3583.61,204.2721505,-30.1306507,26.397,27.084,0.068,0.96,15.9,0.07,0.304,0.0,0,23.034,23.02,0.016,0.95,69.9,-0.003,0.072,0.0,0
3270.82,1690.42,204.2551607,-30.1062575,25.542,26.173,0.041,1.12,26.7,0.039,0.039,0.004,2,23.002,22.989,0.016,1.08,69.2,0.017,0.034,0.051,0
2282.13,732.86,204.2333726,-30.109436,24.579,25.006,0.021,1.11,52.5,-0.01,0.041,0.0,2,23.19,23.181,0.018,1.02,59.8,-0.004,0.043,0.002,0
2971.27,1069.19,204.2442781,-30.1044958,24.064,24.028,0.014,1.0,75.7,-0.009,-0.005,0.001,0,24.279,24.274,0.034,1.1,32.3,0.034,0.092,0.0,0
664.18,2296.42,204.2381955,-30.1404032,24.13,24.192,0.015,1.21,71.0,0.015,0.028,0.024,0,23.846,23.839,0.026,1.05,41.6,0.016,-0.017,0.015,0
2010.41,1212.54,204.2369896,-30.1164236,24.413,24.738,0.018,0.99,60.2,0.006,0.067,0.01,0,23.387,23.378,0.02,1.01,55.0,0.011,0.075,0.003,0
1326.51,2862.16,204.2518164,-30.1376505,24.36,24.648,0.017,0.91,62.3,0.001,0.1,0.004,0,23.448,23.44,0.021,1.08,53.0,0.012,0.022,0.032,0
3273.46,4153.84,204.2870473,-30.1264962,24.835,25.33,0.023,1.25,47.7,-0.017,0.138,0.001,0,23.15,23.14,0.016,1.12,66.0,-0.032,0.102,0.003,0
2127.31,1045.38,204.2359404,-30.1137401,24.122,24.094,0.015,0.82,73.1,-0.006,0.012,0.002,0,24.269,24.264,0.033,1.1,32.5,0.011,0.068,0.04,0
3622.27,3714.31,204.284679,-30.1189777,24.632,25.06,0.022,1.08,50.1,-0.019,0.05,0.001,0,23.24,23.23,0.02,1.05,54.9,0.002,0.029,0.001,2
3532.4,338.97,204.2401752,-30.0922091,24.175,24.174,0.015,1.14,71.1,0.005,0.081,0.005,0,24.162,24.156,0.031,0.87,35.5,0.0,0.059,0.012,0
3267.05,3857.55,204.2831535,-30.1241305,25.531,26.152,0.036,1.01,29.9,0.009,0.226,0.003,0,23.071,23.059,0.016,1.01,68.8,-0.017,0.023,0.0,0
1880.01,1547.35,204.2400783,-30.120638,25.087,25.637,0.028,1.17,39.4,0.003,0.16,0.024,0,23.118,23.107,0.017,1.02,65.1,0.022,0.035,0.031,0
2016.25,1869.44,204.24554,-30.1217649,27.237,27.929,0.148,1.1,7.3,0.065,0.749,0.001,0,23.267,23.252,0.018,0.89,59.2,0.014,-0.022,0.03,0
2182.51,3953.35,204.2740765,-30.137053,24.616,25.015,0.02,1.04,54.5,0.01,0.04,0.006,0,23.331,23.322,0.019,1.07,58.4,0.012,0.086,0.031,0
3711.66,1255.96,204.2537362,-30.0977507,24.168,24.173,0.017,1.46,62.4,-0.011,-0.004,0.004,2,24.123,24.117,0.033,1.27,32.9,0.021,0.171,0.001,0
1605.15,2686.12,204.2521908,-30.1330848,24.456,24.762,0.02,0.96,54.3,0.007,0.108,0.091,0,23.492,23.483,0.022,0.94,49.4,-0.002,0.025,0.039,0
435.04,1314.66,204.2233171,-30.1348846,24.179,24.166,0.016,1.2,69.4,0.03,0.087,0.008,0,24.235,24.229,0.033,0.99,32.6,0.005,0.148,0.008,0
811.34,2065.83,204.2366136,-30.1368592,24.19,24.208,0.023,1.39,47.1,0.064,0.058,0.017,0,24.084,24.078,0.045,1.18,24.4,0.077,0.191,0.035,0
3575.29,599.2,204.2439475,-30.0938711,24.502,24.823,0.019,1.07,57.8,0.007,0.052,0.046,0,23.488,23.479,0.02,0.9,53.7,-0.007,0.035,0.024,0
2850.33,1682.49,204.251058,-30.1108961,24.176,24.147,0.016,1.06,69.9,0.017,0.031,0.0,0,24.336,24.331,0.035,1.04,30.7,0.022,0.082,0.015,0
2658.63,2115.74,204.2548371,-30.116606,24.205,24.222,0.016,1.21,68.3,0.023,0.054,0.0,0,24.097,24.091,0.03,1.02,35.7,0.047,0.062,0.0,0
3674.87,712.06,204.2463539,-30.0936861,24.468,24.755,0.018,1.08,59.2,0.015,0.03,0.0,0,23.56,23.552,0.021,1.0,51.3,0.008,0.082,0.0,0
273.98,992.21,204.217614,-30.1340314,24.873,25.362,0.027,0.99,39.9,0.009,0.037,0.036,2,23.22,23.209,0.021,1.04,52.5,0.011,0.094,0.001,2
