,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
725,2239.96,4031.85,184.3922945,37.7943097,26.698,26.993,0.107,1.15,10.2,-0.01,0.207,0.011,0,25.767,25.759,0.107,0.85,10.2,0.042,0.192,0.008,0
726,3736.95,3866.37,184.3769022,37.7772904,26.632,26.911,0.149,0.89,7.3,0.097,-0.154,0.004,0,25.749,25.74,0.108,1.05,10.0,0.019,0.318,0.008,0
727,1268.22,3324.51,184.4129542,37.7978018,26.456,26.459,0.09,1.05,12.1,0.036,0.277,0.0,0,26.423,26.417,0.19,1.13,5.7,-0.028,0.344,0.002,0
728,1269.45,3867.64,184.4058311,37.8028251,26.646,26.906,0.107,0.99,10.1,0.094,0.262,0.0,0,25.819,25.811,0.113,0.9,9.6,0.041,0.111,0.0,0
729,3477.22,4059.05,184.3774261,37.7817632,26.819,27.166,0.118,1.04,9.2,-0.024,0.188,0.011,0,25.719,25.711,0.104,1.01,10.4,-0.003,0.235,0.01,0
730,3020.85,4019.42,184.3832973,37.7861169,26.727,27.03,0.11,0.95,9.9,0.033,0.375,0.0,0,25.77,25.761,0.107,1.0,10.1,-0.057,0.326,0.0,0
731,1729.08,4099.72,184.3973999,37.8002231,26.751,27.048,0.111,0.92,9.7,0.028,0.682,0.002,0,25.812,25.804,0.124,1.03,8.7,0.06,0.022,0.001,0
732,83.67,1180.12,184.4549154,37.7901602,26.438,26.442,0.093,1.07,11.7,0.003,0.209,0.0,0,26.396,26.39,0.186,1.21,5.9,0.101,1.347,0.031,0
733,3023.59,4101.05,184.3821966,37.7868452,26.776,27.111,0.114,0.99,9.6,-0.01,0.318,0.056,0,25.717,25.709,0.103,0.95,10.6,0.007,0.311,0.024,0
734,2169.72,3373.82,184.4017312,37.7889356,26.502,26.587,0.093,0.99,11.7,0.067,0.639,0.008,0,26.121,26.114,0.147,0.98,7.4,0.081,1.062,0.017,0
735,3435.99,4102.16,184.3773454,37.7825893,26.662,26.896,0.108,1.16,10.0,0.035,0.219,0.036,0,25.905,25.897,0.12,0.98,9.0,0.028,0.223,0.081,0
736,1694.49,3897.48,184.400453,37.7987058,26.728,27.037,0.108,0.98,10.0,0.05,0.085,0.006,0,25.751,25.743,0.106,1.16,10.2,-0.026,0.221,0.005,0
737,3139.71,3426.16,184.3896679,37.779388,26.63,26.882,0.162,1.07,6.7,0.126,1.054,0.006,2,25.824,25.816,0.135,1.08,8.0,-0.083,0.232,0.006,0
738,3186.9,3766.76,184.3846567,37.7820572,26.778,27.118,0.114,0.92,9.6,-0.03,-0.016,0.005,0,25.702,25.693,0.102,0.99,10.7,0.005,0.471,0.009,0
739,1309.43,2876.44,184.4183345,37.7932207,26.641,26.908,0.111,1.03,9.8,0.054,0.28,0.001,0,25.79,25.781,0.118,1.07,9.2,0.053,0.031,0.003,0
740,2145.52,4146.41,184.3919029,37.7963485,26.867,27.23,0.125,1.12,8.7,0.077,0.114,0.0,0,25.713,25.704,0.106,1.04,10.3,0.067,-0.055,0.0,2
741,2790.77,3827.36,184.3885098,37.7867166,26.626,26.855,0.117,1.05,9.3,-0.027,-0.049,0.019,2,25.884,25.876,0.118,0.93,9.2,-0.017,0.193,0.013,0
742,1414.17,4028.69,184.4020248,37.8028216,26.833,27.151,0.122,0.89,8.9,-0.06,0.148,0.011,0,25.83,25.821,0.115,1.0,9.5,0.001,-0.078,0.01,0
743,1550.73,3960.13,184.4013198,37.8007735,26.665,26.918,0.107,0.96,10.2,0.087,0.501,0.0,0,25.858,25.849,0.116,1.22,9.4,0.114,0.03,0.0,0
744,1205.54,3955.85,184.4054264,37.804304,26.669,26.903,0.116,1.06,9.4,0.077,0.765,0.006,0,25.914,25.906,0.136,1.04,8.0,0.005,0.612,0.009,0
745,2714.46,4172.45,184.3848879,37.7907048,26.689,26.95,0.165,0.88,6.6,0.004,-0.155,0.001,2,25.857,25.849,0.156,0.93,6.9,-0.03,1.101,0.0,2
746,1138.58,3249.82,184.4154531,37.7984499,26.628,26.875,0.105,0.98,10.4,0.078,0.066,0.008,0,25.836,25.828,0.12,1.17,9.0,0.173,0.261,0.01,0
747,2693.86,4099.76,184.3860811,37.7902441,26.926,27.302,0.13,1.03,8.3,0.059,0.358,0.002,0,25.726,25.716,0.103,0.94,10.5,-0.002,0.957,0.002,0
748,2576.84,4045.32,184.3881663,37.7909499,26.69,26.953,0.11,1.02,9.9,0.018,0.27,0.0,0,25.855,25.846,0.118,1.04,9.2,0.148,0.52,0.0,0
749,284.98,3932.15,184.4165407,37.8136044,26.68,26.94,0.111,1.0,9.8,-0.006,0.366,0.0,0,25.853,25.845,0.119,1.24,9.1,-0.001,0.049,0.0,0
750,4192.99,4012.73,184.3696391,37.7739289,26.795,27.106,0.12,0.92,9.0,-0.012,0.45,0.023,0,25.814,25.805,0.113,0.88,9.6,0.068,-0.112,0.021,0
751,925.28,4036.83,184.4076553,37.8079533,26.713,26.98,0.11,1.09,9.9,0.041,0.703,0.003,0,25.861,25.853,0.119,1.06,9.1,0.199,0.232,0.007,0
752,1321.58,3233.06,184.4135249,37.796402,26.635,26.878,0.107,1.07,10.2,0.049,0.219,0.0,0,25.852,25.844,0.12,1.08,9.1,0.043,0.491,0.0,0
753,2383.82,4034.36,184.390574,37.7928449,26.738,27.033,0.112,1.03,9.7,0.037,0.375,0.004,0,25.808,25.8,0.111,0.98,9.8,0.041,0.329,0.001,0
754,382.86,3925.77,184.4154753,37.812533,26.73,26.978,0.115,1.05,9.4,0.001,-0.005,0.004,0,25.936,25.928,0.126,1.12,8.6,0.094,0.386,0.007,0
755,527.1,3975.52,184.4131311,37.8115027,26.732,27.023,0.124,0.98,8.7,0.058,0.83,0.004,0,25.812,25.803,0.134,1.04,8.1,0.069,0.101,0.006,0
756,2949.86,4065.05,184.3835326,37.7872742,26.756,27.054,0.112,0.97,9.7,-0.026,-0.06,0.02,0,25.814,25.806,0.11,0.93,9.8,0.056,0.441,0.064,0
757,748.51,3982.89,184.410436,37.8092813,26.605,26.767,0.106,1.09,10.3,0.006,0.193,0.002,0,26.042,26.035,0.138,1.09,7.8,0.059,0.422,0.005,0
758,1964.5,4014.64,184.3957515,37.7969993,27.099,27.548,0.145,1.02,7.5,-0.021,0.39,0.014,0,25.622,25.612,0.097,1.06,11.2,0.023,0.622,0.018,0
759,413.26,3428.49,184.4216274,37.8076073,26.645,26.879,0.108,1.03,10.0,0.084,-0.233,0.0,0,25.889,25.881,0.125,1.01,8.7,0.104,1.167,0.002,0
760,3981.7,4024.28,184.3719654,37.7762219,26.835,27.171,0.123,1.14,8.8,0.015,0.19,0.001,0,25.77,25.762,0.109,1.04,10.0,0.045,0.466,0.002,0
761,3351.73,435.72,184.4263029,37.7494675,26.838,27.18,0.118,0.97,9.2,0.017,0.561,0.0,0,25.756,25.747,0.105,1.16,10.3,0.079,0.155,0.0,0
762,2237.62,4136.95,184.3909463,37.7953082,26.639,26.771,0.108,0.93,10.1,0.08,-0.004,0.02,0,26.147,26.14,0.144,1.0,7.6,0.119,0.647,0.003,0
763,1817.88,4100.43,184.3963488,37.7993112,26.798,27.101,0.117,0.98,9.3,0.084,0.662,0.002,0,25.843,25.834,0.114,1.13,9.5,0.062,0.174,0.004,0
764,3185.83,3773.28,184.3845839,37.7821287,26.69,26.95,0.108,1.08,10.1,0.098,-0.165,0.004,0,25.861,25.853,0.115,1.04,9.5,-0.1,0.459,0.02,0
765,1532.74,4033.64,184.4005687,37.8016412,26.891,27.255,0.125,0.87,8.7,-0.001,0.251,0.001,0,25.737,25.728,0.105,0.98,10.4,0.039,0.316,0.0,0
766,271.64,3708.0,184.4196313,37.8116638,26.685,26.886,0.119,1.07,9.2,-0.015,0.429,0.006,0,26.021,26.013,0.139,1.1,7.8,0.242,0.273,0.013,0
767,2953.72,4104.32,184.3829733,37.7875983,26.952,27.348,0.132,1.03,8.2,-0.006,-0.149,0.015,0,25.681,25.672,0.101,1.06,10.7,-0.007,0.55,0.001,0
768,1169.41,3689.48,184.409337,37.8022078,26.582,26.739,0.099,1.1,10.9,0.036,-0.089,0.0,0,26.03,26.022,0.133,1.05,8.2,-0.028,0.336,0.0,0
769,3857.65,4015.05,184.3735408,37.7774197,26.656,26.879,0.105,0.9,10.4,-0.006,0.587,0.007,0,25.932,25.924,0.12,0.92,9.0,0.014,-0.121,0.01,0
770,954.85,4046.56,184.4071809,37.8077377,26.88,27.237,0.126,1.01,8.6,0.168,0.165,0.027,0,25.746,25.737,0.109,1.07,10.0,0.103,0.571,0.036,0
771,3554.68,4124.11,184.3756662,37.7815649,26.755,27.033,0.112,1.02,9.7,0.072,-0.24,0.0,0,25.874,25.866,0.115,0.97,9.5,0.085,0.302,0.0,0
772,980.29,4035.4,184.4070285,37.8073711,26.881,27.219,0.124,1.01,8.8,0.064,0.919,0.001,0,25.811,25.802,0.111,1.24,9.8,-0.069,0.228,0.003,0
773,458.76,4015.99,184.4134035,37.8125847,26.82,27.147,0.121,0.97,9.0,-0.019,0.321,0.004,0,25.788,25.779,0.116,1.35,9.4,0.024,0.172,0.004,0
774,312.73,2980.54,184.42867,37.8044925,26.668,26.88,0.111,0.85,9.8,-0.052,-0.055,0.0,0,25.972,25.964,0.133,1.02,8.2,0.024,0.8,0.001,0
775,2660.46,4055.75,184.3870489,37.7901816,26.823,27.15,0.118,0.97,9.2,0.069,0.206,0.004,0,25.79,25.782,0.108,0.91,10.0,0.075,0.07,0.002,0
776,3150.45,3148.98,184.3931693,37.7767074,26.705,26.97,0.111,0.95,9.8,0.062,0.375,0.005,0,25.862,25.854,0.119,0.88,9.1,0.02,0.854,0.005,0
777,2812.83,1991.36,184.4122763,37.7694663,26.599,26.811,0.108,1.03,10.1,0.017,0.21,0.004,0,25.902,25.894,0.125,1.04,8.7,-0.074,-0.109,0.11,0
778,3922.41,3839.62,184.3750776,37.7751238,26.776,27.072,0.117,0.99,9.3,0.025,0.06,0.085,0,25.838,25.83,0.114,1.0,9.5,0.075,0.468,0.043,0
779,2383.03,3847.46,184.3930297,37.7911204,26.702,26.956,0.11,1.01,9.9,0.006,0.4,0.002,0,25.893,25.885,0.119,1.02,9.1,0.091,0.219,0.0,0
780,2580.19,3989.45,184.3888583,37.7903974,26.773,27.073,0.115,1.18,9.4,0.068,0.152,0.001,0,25.826,25.817,0.11,0.96,9.8,-0.043,0.371,0.0,0
781,434.18,3491.28,184.4205601,37.8079732,26.901,27.272,0.13,1.04,8.3,0.093,0.189,0.002,0,25.716,25.707,0.106,1.08,10.2,-0.127,0.264,0.001,0
782,2342.3,4002.4,184.3914794,37.7929781,26.861,27.208,0.12,1.04,9.0,0.088,1.304,0.001,0,25.761,25.752,0.106,0.91,10.2,0.051,0.035,0.001,0
783,2662.3,4065.08,184.3869052,37.7902491,26.796,27.101,0.117,1.0,9.3,0.048,0.393,0.002,0,25.832,25.824,0.115,1.0,9.5,0.099,-0.002,0.002,0
784,4047.23,4039.98,184.3709916,37.7756895,26.712,26.948,0.114,1.04,9.5,0.123,0.32,0.001,0,25.954,25.946,0.126,1.11,8.6,0.058,0.3,0.0,0
785,3220.08,4036.95,184.3807311,37.7842184,26.589,26.658,0.097,0.95,11.2,0.05,0.639,0.002,0,26.28,26.273,0.157,0.97,6.9,-0.019,-0.082,0.001,0
786,472.26,3195.87,184.4239794,37.8048399,26.635,26.843,0.108,1.05,10.1,0.006,0.102,0.0,0,25.948,25.94,0.13,1.15,8.3,-0.018,0.085,0.0,0
787,2634.01,3217.69,184.3983278,37.782686,26.758,27.065,0.116,0.92,9.4,0.048,0.187,0.0,0,25.789,25.78,0.112,1.07,9.7,0.062,0.402,0.0,0
788,3007.35,4032.78,184.3832807,37.7863804,26.71,26.946,0.108,0.96,10.1,-0.014,0.097,0.01,0,25.947,25.939,0.122,1.03,8.9,0.109,0.278,0.0,0
789,3515.48,4064.29,184.3769089,37.781416,26.829,27.153,0.119,1.11,9.1,0.026,0.231,0.0,0,25.806,25.797,0.109,0.92,10.0,0.018,0.081,0.0,0
790,1245.18,3834.29,184.4065524,37.8027669,26.604,26.73,0.099,1.02,11.0,-0.082,-0.088,0.018,0,26.127,26.119,0.144,1.14,7.6,0.102,0.798,0.05,0
791,1850.27,3554.52,184.4031142,37.7939149,26.608,26.719,0.1,0.96,10.8,0.043,0.819,0.011,0,26.167,26.16,0.152,1.05,7.2,0.08,-0.523,0.056,0
792,1424.96,2943.85,184.4160966,37.7926511,26.492,26.493,0.096,0.98,11.3,0.029,0.33,0.002,0,26.465,26.459,0.203,1.11,5.3,0.033,-0.054,0.126,0
